"","year","codel2_2016","TO_5","TO_6","TO_MULTI","TO_10","TO_8","TO_TA","TO_1","TO_4","TO_9","TO_11","TO_3","TO_7","TO_2","TO_12","TO_13"
"249",2016,"PL84",0,0,9063002,146133,7190296,2693339,1523972,7288023,111811,0,672044,145358358,0,0,0
"250",2016,"PL91",0,0,6708939,1552786,20480603,6348625,12229861,26093878,646827,0,0,347784415,2401720,0,0
"251",2016,"PT1",0,0,60649817,247760451,5469907,11280749,6066742,0,12414,0,0,0,0,0,0
"252",2016,"PT11",1646192,7588937,127323191,391742991,107526101,3758338,101421813,546720,5047068,0,127657837,0,19990,0,0
"253",2016,"PT15",359413,8540494,0,0,10922178,2252454,414765,19367,809270,0,7080253,0,0,0,0
"254",2016,"PT16",625805,4665570,125621964,244939304,77929012,2138596,18547680,660018,6990324,0,93080798,0,103221,0,0
"255",2016,"PT17",46002,827133,2047596,2313438,48469590,6084408,608985,19367,3494473,0,14333741,0,0,0,0
"256",2016,"PT18",612268,3549483,6965642,62216176,24734293,0,2654526,19367,6548823,0,28228262,0,0,0,0
"257",2016,"PT20",6958273,8846095,0,27385108,24507003,1529398,0,82137,91339211,0,49960413,10351508,13272,56353955,0
"258",2016,"PT30",27263046,1860697,0,0,5263021,0,300940,0,10118355,0,5718386,31594082,197346,40585283,0
"259",2016,"RO",27873369,0,0,0,0,425380,0,0,0,0,0,0,0,0,0
"260",2016,"RO11",0,24386376,0,0,0,0,0,4720516,0,0,0,0,0,0,0
"261",2016,"RO12",0,12433609,0,0,0,0,0,0,0,0,0,0,0,0,0
"262",2016,"RO21",0,17463593,0,0,0,0,0,0,0,0,0,0,0,0,0
"263",2016,"RO22",0,5087527,0,0,0,0,0,0,0,0,0,0,0,0,0
"264",2016,"RO31",0,29432260,0,0,0,0,0,0,0,0,0,0,0,0,0
"265",2016,"RO32",0,4741239,0,0,0,0,0,0,0,0,0,0,0,0,0
"266",2016,"RO41",0,11464958,0,0,0,0,0,0,0,0,0,3337949,0,0,0
"267",2016,"RO42",0,5153382,0,0,0,0,0,0,0,0,0,0,0,0,0
"268",2016,"SE",0,0,37206189,11968745,33842853,20074752,0,0,533074,0,0,0,0,0,0
"269",2016,"SE11",0,0,2785283,0,0,16490,0,0,0,0,0,0,0,0,0
"270",2016,"SE12",0,20000,0,0,0,14963,4504016,1673884,0,0,1177519,0,0,0,0
"271",2016,"SE21",0,0,0,0,0,34579,2420337,282004,0,0,2419493,0,0,0,0
"272",2016,"SE22",0,20000,0,0,0,0,3179674,369377,0,0,1804593,56561,30741,0,0
"273",2016,"SE23",0,20000,0,0,138188,54325,3143794,1799597,0,0,2182754,158108,0,0,0
"274",2016,"SE31",0,19931,0,0,133856,65320,4047949,505090,0,0,12012506,139810,4330328,0,0
"275",2016,"SE32",0,8121,0,0,60403,1346140,1208903,0,0,0,6446854,5213569,298510,0,0
"276",2016,"SE33",0,416022,0,0,62209,1675507,3529844,308062,0,0,25525817,5678,922922,0,0
"277",2016,"SEZZ",0,0,0,0,0,0,34340451,1971942,0,0,0,0,0,0,0
"278",2016,"SI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"279",2016,"SI0",0,0,0,0,0,12411736,0,747760,0,0,0,0,0,0,0
"280",2016,"SI03",0,14487755,0,3290640,22203787,2920846,400938,23587,3170117,1026253,2385025,31030460,89046,0,0
