Substance,ISO,Country,NUTS 2,NUTS 2 desc,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018,Y_2019,Y_2020,Y_2021,Y_2022
GWP_100_AR5_GHG,CZE,Czechia,CZ01,Praha,9029.9575882094,8257.4264545169,7455.5846207226,7621.7505275078,6990.993071666,6668.0702364703,6601.0638904632,6519.8358236047,6192.6989637316,5804.1139502587,6187.2744058182,6123.245336552,5883.1171088941,6068.1918061653,6059.9824879806,5713.5616268731,5923.4919734703,5768.1535377368,5948.6596268601,5592.530065031,5740.7408628889,5545.5373016857,5469.8329850384,5353.4779064452,5156.7723962505,5271.1119581602,5298.7206136773,5391.9001094442,5343.7109978289,5196.2074091014,4937.0272283531,5298.748218476,5219.025783054
GWP_100_AR5_GHG,CZE,Czechia,CZ02,Střední Čechy,20190.192359604,18714.11615694,17751.880263991,17666.117186658,16795.74219522,16340.010899982,16917.320149844,16517.326213606,15904.460069982,15557.405823635,18523.901241635,18706.174460796,18147.921552306,18680.631223894,18536.915609623,18404.734672745,19361.483287955,19925.366065012,19249.89820102,18561.089231121,19479.873221078,19186.57431689,18592.871213853,18555.032646057,18807.708553847,19020.543237894,18418.053036712,19030.300194065,18900.869269364,18148.053870223,16232.865164395,17431.037803214,15545.180784974
GWP_100_AR5_GHG,CZE,Czechia,CZ03,Jihozápad,17882.155522446,16112.298116012,15124.146805873,14705.197465165,13249.828094698,12566.206554562,12868.660143654,12507.574137677,12480.78255281,12126.043253307,12899.752888849,12915.326646479,12626.358258186,13044.406239419,13054.454775781,12809.713123347,13123.17785798,13076.172977892,13214.531279809,12424.860469064,12753.674273913,12505.436405562,12236.768830664,12245.427636905,12168.41406426,12446.23192606,12450.864897117,12669.657951115,12421.929106632,12175.004836918,11446.068905905,12178.540533133,11911.211606515
GWP_100_AR5_GHG,CZE,Czechia,CZ04,Severozápad,17919.768713708,16218.408973055,15623.76802255,14962.804233616,14648.452397194,13880.84366974,14472.717276646,13976.462226727,12661.239467027,13283.835162737,15448.001767711,14148.721302823,13789.58137415,14977.870061979,16033.54261447,15886.538192978,15746.905203182,14066.620126144,13770.921293579,14037.611378722,12544.430292048,12481.609550974,12451.962179154,12018.1465969,11761.950878892,11946.864253209,11804.268100418,12534.647199149,12260.392316741,12064.52227323,11482.807326016,12277.080891321,12068.807016989
GWP_100_AR5_GHG,CZE,Czechia,CZ05,Severovýchod,56504.180417228,54032.830475943,51473.409493513,50897.706441551,50183.795355765,52139.97807317,54875.997663898,53434.174352155,50387.010943902,47042.033111921,51121.570365941,51609.457034023,49795.748622977,49962.409921115,49368.518570155,49195.205404165,49383.743642411,52122.135450068,48834.871932763,47011.594922463,47887.170813618,46801.272264922,44811.465669914,41146.2328441,42894.877245102,42993.455024822,45151.630636462,43906.456048455,43454.901131286,40844.707096234,37373.524594169,37963.710921469,41318.953506676
GWP_100_AR5_GHG,CZE,Czechia,CZ06,Jihovýchod,21695.126907514,19727.864895886,18527.164014705,18299.844130308,17024.119705715,16539.383704877,17118.530228881,16823.393910436,16444.586839188,15881.422360903,16617.292943855,16793.965690202,16131.63660679,16765.355562785,17154.63263766,16513.423548274,16065.266601106,15945.579950269,16073.966694521,14957.27114025,16950.386552262,16760.974143287,16399.743055643,15847.059059781,13352.97497258,13672.134981504,13926.526346863,14135.588699655,13987.462215318,13920.04527828,13414.006055607,14196.267848467,13909.978904984
GWP_100_AR5_GHG,CZE,Czechia,CZ07,Střední Morava,13721.147499576,12308.425410431,11290.490790776,11198.833361286,10190.418085233,9698.884024431,9524.0240976886,9380.6545118963,9024.829397495,8625.2965129729,9144.9779503471,9254.0500141278,8939.7479472186,9193.1835002098,9202.7985814395,8902.9601889002,9161.9213856862,9128.0631017906,9011.8513320162,8427.3673053703,8709.8322475458,8687.2874184747,8432.3883627434,9080.6990670452,8399.5727621386,8583.5650270175,8694.0009377888,8891.4592681616,8740.2287950841,8630.8218663169,8245.9999504623,8771.3089516388,8671.655954562
GWP_100_AR5_GHG,CZE,Czechia,CZ08,Moravskoslezsko,39674.721289792,32734.009266958,32568.650109197,27651.162988765,27117.73326855,27264.242767961,26885.076670273,25988.094077963,25033.693307212,21648.671926331,23658.411821212,24600.193989626,23401.034983259,23437.967299886,23985.756540533,23151.51671812,23124.022204284,23500.982359219,21669.708733976,19910.45292412,18983.683490531,18716.031003833,18155.695903609,17756.25800201,17286.527253745,17292.445003629,16700.660571269,17043.972321368,16911.248741341,15588.328616795,13942.685008647,15134.610977382,15884.122201545
GWP_100_AR5_GHG,DEU,Germany,DE,,8814.0642657498,8052.916252826,7746.261266932,7731.421694792,7424.8125123891,6885.6252859344,6728.9426369101,6512.2178589774,6383.2162751324,6153.5773528041,6076.7726262827,5766.9475294399,5489.9306374129,5445.8133199336,5432.7435816203,5515.9031551048,5411.6127327676,5386.514156376,5359.9445750984,5120.8654996798,4943.1242221099,4772.1036536495,4702.3589470337,4543.2065603217,4640.5003627904,4672.7701549421,4635.5719755514,4207.7793896195,4113.2279597009,4341.2795520365,2925.6320640531,3124.6795803885,3709.981612543
GWP_100_AR5_GHG,DEU,Germany,DE11,Stuttgart,40543.487874913,40426.374462692,38131.266409339,37848.332858688,36669.84337272,36421.399117307,37615.075299827,37934.151996877,37556.93031635,35791.092490563,35001.318461759,36069.118270871,35262.185490525,35444.506165419,34831.879481485,33923.273578701,34257.334903509,32694.644261785,32650.288454526,30848.833641779,31911.265726866,30667.067216241,31257.516612622,32642.069650366,30824.298473875,30647.704194986,29841.111743195,29283.946681627,28815.132219514,26846.188576747,24578.871325283,26318.917690176,27452.8626413
